NewTest,Mattest,bachelor-VirtualBox(127.0.1.1)
710,33.6238667965,24153.2713079
711,33.1678850651,24187.034148
712,33.0925889015,24220.6031909
713,33.8440859318,24254.9905219
714,34.1785330772,24289.549516
715,33.2858979702,24322.9495089
716,33.8715310097,24357.309655
717,33.1770830154,24390.7322419
718,33.8097579479,24425.561697
719,33.156345129,24458.7692909
720,32.7193090916,24492.5855489
721,33.615555048,24527.5642169
722,33.3239719868,24561.28036
723,33.5016050339,24595.3230829
724,33.5776171684,24629.4545429
725,33.1768460274,24663.0478449
726,33.440871954,24697.3175428
727,33.6362659931,24731.687207
728,33.2820749283,24765.9498329
729,33.4891719818,24800.1038308
730,33.8252050877,24834.1929998
731,33.1830790043,24867.4631379
732,33.2013418674,24901.6328599
733,33.266851902,24935.7624879
734,33.7380321026,24970.1525869
735,33.4742870331,25003.7654479
736,33.9103348255,25037.927501
737,33.6186990738,25071.5927639
738,33.9897580147,25105.899684
739,33.0721530914,25139.3120809
740,33.4793221951,25173.8875639
741,33.3895330429,25207.720943
742,33.2695298195,25241.7318509
743,33.2036070824,25275.995724
744,33.0434949398,25309.6061978
745,33.6217939854,25344.109895
746,33.3383500576,25377.710907
747,33.3220188618,25411.922797
748,33.6861789227,25446.4415669
749,33.4632918835,25480.3878019
750,33.442661047,25514.6111598
751,33.1414699554,25548.0940769
752,33.6715769768,25582.339489
753,33.7006649971,25616.365104
754,33.3496611118,25650.0497808
755,33.0769460201,25683.7358198
756,33.3407618999,25718.1920228
757,32.8121759892,25752.1469369
758,33.2463338375,25786.429889
759,33.875483036,25820.822022
760,33.4898700714,25854.6940789
761,33.5229361057,25888.5386219
762,33.3115189075,25922.303236
763,33.0194039345,25955.7929609
764,33.1423249245,25989.8695798
765,33.2943041325,26023.9948668
766,33.4864919186,26058.4381838
767,32.9285180569,26091.7630289
768,32.7667098045,26126.1334929
769,33.9233798981,26161.5463259
770,33.2445909977,26195.1364758
771,33.1555521488,26228.9633369
772,33.6695439816,26263.3442109
773,33.9250349998,26297.4122939
774,33.8691461086,26331.7401018
775,32.9684021473,26364.942719
776,33.3813610077,26399.1121609
777,33.4446749687,26433.2134869
778,33.6961920261,26467.3956449
779,33.3135540485,26501.263938
780,32.9073028564,26534.9033868
781,33.1741578579,26569.3131409
782,33.7892298698,26604.1280179
783,33.239593029,26637.4722018
784,33.2517118454,26671.5557139
785,33.7192769051,26706.0370629
786,33.3491120338,26739.5740609
787,33.5875749588,26773.885664
788,33.4725019932,26807.709255
789,33.5573480129,26841.7253358
790,33.2246828079,26875.2670779
791,33.4600968361,26909.2547269
792,33.1262381077,26943.1304748
793,33.5427949429,26978.0528049
794,33.7794771194,27012.1302938
795,32.9765939713,27045.1912749
796,33.3431510925,27079.2714469
797,33.2315101624,27113.043468
798,33.4312119484,27146.9393919
799,33.4022119045,27180.805728
800,33.0827260017,27214.4787688
801,33.2069480419,27248.30934
802,33.2190198898,27282.05055
803,33.2555060387,27315.8532388
804,33.2860071659,27349.8084428
805,33.4774720669,27383.7005599
806,33.5219271183,27417.513387
807,33.0687561035,27450.946023
808,33.1937229633,27484.7409599
809,33.5653188229,27518.7692389
810,33.6851570606,27553.367198
811,33.1309211254,27586.8514729
812,33.191049099,27620.13832
813,33.4194951057,27653.7428229
814,33.5822029114,27687.6894279
815,32.7202801704,27720.782032
816,32.5921859741,27753.7250538
817,33.1403720379,27787.4722109
818,33.3499979973,27821.142041
819,32.8396220207,27854.0836639
820,33.2623200417,27888.0112998
821,33.2669181824,27921.5203209
822,32.700715065,27954.4504249
823,32.7892549038,27987.923625
824,33.3087990284,28022.2193439
825,33.334100008,28055.8535769
826,33.0909159184,28089.3839848
827,32.4968430996,28122.3414989
828,33.8551418781,28157.3266318
829,33.6673409939,28191.167614
830,33.6092469692,28224.9710488
831,33.6063420773,28258.9611149
832,32.8531739712,28292.1463099
833,32.948597908,28326.2782059
834,33.4159281254,28360.5570078
835,33.1012928486,28394.056077
836,33.0622420311,28427.5294318
837,33.3492560387,28461.639987
838,33.3621239662,28495.443717
839,32.7735109329,28528.390245
840,32.8363199234,28561.883451
841,32.9277060032,28595.541574
842,32.9568610191,28629.38115
843,32.8219649792,28662.5364628
844,33.1820909977,28696.6538169
845,32.8894097805,28730.2065709
846,32.9096748829,28763.5973308
847,33.317453146,28797.7437868
848,33.5072319508,28831.511786
849,32.539825201,28864.6038358
850,33.0424501896,28898.382226
851,32.9203159809,28932.3738029
852,33.3143918514,28966.1552689
853,33.0101969242,28999.6693959
854,33.214566946,29033.4216979
855,33.2183520794,29067.0031049
856,32.5331890583,29100.1639228
857,33.0216219425,29134.208787
858,33.3769118786,29168.0996449
859,33.0975711346,29201.3630919
860,33.4263319969,29235.2101068
861,33.511204958,29269.0516679
862,33.1506550312,29302.412045
863,33.0839669704,29335.8516519
864,33.3303759098,29369.4792709
865,33.3751139641,29403.2596428
866,33.1591038704,29436.939467
867,32.9646360874,29470.185961
868,33.151665926,29503.9315269
869,33.1342470646,29537.6196098
870,32.8459558487,29570.9329278
871,33.0585548878,29604.6272309
872,33.098277092,29638.3776169
873,34.0317389965,29673.0737219
874,33.0161941051,29706.28423
875,33.3673319817,29740.0716438
876,33.2724170685,29773.9261138
877,32.6031651497,29807.0989039
878,33.0776309967,29840.8376009
879,33.0698509216,29874.3462629
880,32.6970779896,29907.258271
881,33.2055358887,29941.58129
882,33.2595529556,29975.0985599
